VPNCode;AGE;WORK;Gender_Männlich;Gender_Weiblich;Edu_Abitur_oder_Fachabitur;Edu_Bachelor;AILiteracy[Use];AILiteracy[Kno];AILiteracy[Det];AILiteracy[Eth];PGAT;NGAT;CMV;NEO[E];NEO[A];NEO[C];NEO[N];NEO[O];JC1[IStR];JC1[HRJD];JC1[ICJD];SE1;SDT1[AUT];SDT1[COM];PROD1[SQ001];TASKDIF1[SQ001];JC2[IStR];JC2[HRJD];SE2;SDT2[AUT];SDT2[COM];PROD2[SQ001];TASKDIF2[SQ001];MANI2;total_time;syst_total_time;time_demogr;time_pers;time_task1;time_survey1;time_task2;time_survey1
ABO2606;22;25;1;0;0;1;3.166666667;3.333333333;4;2.5;4;2.666666667;4.666666667;2.75;3;3.75;2.5;3.6;2.8;2.333333333;3;100;2;3;4;2;2.8;4;20;3;5;3;4;"In der zweiten Aufgabe musste ich ein Konzept für eine eintägige Veranstaltung zum Thema ""Digitale Transformation"" für Führungskräfte erstellen. Hierbei konnte ich ChatGPT als Hilfsmittel nutzen, um mir Vorschläge für Themen, Events, und einen möglichen Zeitplan geben zu lassen. ";35;35.03866667;9.134166667;1.056333333;11.98083333;1.290833333;0.066833333;11.50966667
APE2704;20;15;1;0;1;0;5;4.833333333;3.333333333;3.5;4;3.333333333;2;2.25;3.25;4;2.25;3.6;3;2.333333333;3;100;3;4;3;4;4.6;4;5;3;5;4;4;Ich musste einen Plan für eine einwöchige Veranstaltung in einem Unternehmen zum Thema nachhaltige Vision und nachhaltige Ziele entwickeln. Als Hilfsmittel habe ich Chatgpt Support verwendet.;23;23.16933333;2.530833333;1.257666667;6.3725;1.443166667;0.180166667;11.385
SSG0102;20;20;1;0;1;0;3.833333333;4.333333333;3.333333333;2;3.333333333;2.333333333;3.666666667;3.75;3.5;3.5;2.25;4;3.8;3.666666667;3.5;70;5;2;2;3;5;2.75;80;4;4;4;3;Ich musste einen Abend organisieren für eine ein-wöchige Kommunikations Camp welches den Fokus auf Nachhaltigkeit Setzte. Als Hilfsmittel wurde ChatGPT zur Verfügung gestellt worden.;34;34.52516667;3.595666667;1.3015;10.433;1.658333333;14.911;2.625666667
ECH2807;21;30;1;0;1;0;4;4.5;4.666666667;3;3.333333333;3.333333333;4;3;3.5;3.25;2.5;4;3.4;3.333333333;2.5;100;5;4;4;3;3.8;3.75;70;3;5;4;3;"Ich musste für ein Unternehmen, über das ich keine weiteren Informationen besass, einen Marketing-Plan erstellen. Dieser Plan sollte kommunizieren, wie wichtig Nachhaltigkeit für das Unternehmen ist - ggü. internen und externen Stakeholdern. Dabei half mir ChatGPT, das v.a. lange ""Schreibaufgaben"" übernahm.";46;46.27983333;1.717166667;0.610833333;21.66416667;0.892166667;19.57433333;1.821166667
AST1210;25;60;1;0;0;0;4.166666667;3.833333333;4;3;3;3.333333333;4.333333333;3;4;3.75;3;4.2;4.4;3.666666667;4.5;100;5;4;4;2;3.2;5;15;4;5;3;4;In der zweiten Aufgabe ging es um eine einwöchige Kommunikationsstrategie, welche zum Ziel hatte, den für das Unternehmen neu eingeführten Kernwert der Nachhaltigkeit, den wichtigsten Anspruchsgruppen mitzuteilen. Als Hilfsmittel stand dabei ChatGPT zur Verfügung.;28;28.102;3.470833333;1.178833333;12.41266667;1.6345;6.4455;2.959666667
IHE1103;24;20;1;0;0;1;4;3.5;2.666666667;2;5;2;5;2.75;4;3.75;3;4;3.6;2.333333333;3;75;4;3;4;2;4.4;5;20;4;5;5;4;Ich sollte eine eintägige Veranstaltung aufsetzen, bei der Führungskräfte in das Thema digitale Transformation eingeführt werden. Dabei ging es darum informativ aber auch unterhaltsam zu sein. Zur Hilfestellung durfte ich ChatGPT benutzen.;34;34.4385;3.611666667;1.466333333;13.39633333;1.803333333;11.32533333;2.8355
OME0709;22;50;1;0;1;0;4.333333333;3.333333333;3;4;2.333333333;3.333333333;4.333333333;3.5;2.75;3;3.25;3.8;4.6;2;3.5;70;5;5;4;3;3.8;4;50;5;5;4;2;In der zweiten Aufgabe musste man für den eigenen Chef eine einwochige Strategie entwickeln, in der Mitarbeitende der Firma neue Technologien kennenlernen sollten. In der zweiten Aufgabe, in gegensatz zu der erste war es möglich sich mit Chat-GPT zu helfen um die Aufgabe zu lösen.;29;29.252;3.240833333;1.664666667;0.651833333;10.7165;8.475833333;4.502333333
NBA0408;20;50;1;0;1;0;5;4.166666667;4;2.5;4.333333333;2;4.666666667;3.25;2.5;3.75;2.25;4;2.8;2.333333333;3.5;100;3;4;3;4;3.4;3.75;40;5;5;5;4;Ich habe mittels einer OPENAI einen Text generiert. Die KI hat in meinem Auftrag und nach meinen vorstellungen eine neue Kommunikationsstrategie geschrieben. Im Nachhinein konnte ich textstellen, die ich nicht mochte, nochmals selber anpassen. ;44;44.35066667;3.447166667;1.675666667;20.21483333;1.829166667;13.783;3.400833333
AOD2103;25;60;1;0;0;1;3.5;4;3.666666667;3.5;4.333333333;3.666666667;3.333333333;3.5;3.5;4;3.5;3.4;2.8;4;4;100;2;4;3;4;3.8;4;30;2;4;3;3;Ich musste eine Verantstaltung über digitale Transformation für Fuehrungskraefte im Unternehmen organisieren. Dabei hatte ich ChatGPT als Hilfsmittel für die Vorbereitung.;30;30.7745;2.648;1.208;14.14333333;1.598;8.551166667;2.626
IME0910;27;100;0;1;0;1;4.166666667;4.166666667;4;3.5;2;3;4;2.75;3;3.5;2.25;3;3.8;3.666666667;4;80;3;2;4;2;4.2;5;95;3;5;4;4;Ich musste nur denken wie könnte ich die Aufgabe zum ChatGPT geben und zu klar zu sein , dann es konnte besser machen. Ich habe geschrieben was ich brauchte und er hat die richtige Antwort gegeben. ;36;36.12266667;4.4285;2.213;12.68583333;2.818;0.169666667;13.80766667
VBA1706;21;15;1;0;0;1;4.166666667;4;3.333333333;4;3.333333333;3.333333333;4.666666667;2.5;3.25;3.5;3;3.4;4;3.666666667;3.5;60;4;3;3;2;3.8;4.5;75;4;3;4;3;Ich musste Chat GPT Orden geben. Es gab 7 besonderes punkte die ich lesen, verstehen und benutzen musste. Mit diese 7 besondere Punkte ich musste chatpgt oOrden geben um die Task zu machen;45;42.504;5.943333333;2.724833333;1.537333333;29.0785;0.040166667;3.179833333
AFU0708;20;10;0;1;0;1;4.833333333;4.166666667;3.333333333;4.5;3;3;4.666666667;3;2.25;2.75;3.75;3.8;4.8;4;4.5;100;5;4;3;4;4.4;1.75;15;2;2;2;3;Mithilfe einer künstlichen Intelligenz konnte ich von Ihnen gestellte Fragestellung bearbeiten.  Dabei konnte ich Fragen stellen und anweisungen geben.;50;49.36433333;2.74;1.1095;28.376;1.344666667;13.571;2.223166667
USG0407;31;100;1;0;0;1;4.5;3.166666667;2.333333333;1.5;2.666666667;2.333333333;4.666666667;3;2.25;3.75;2;3.6;3.4;3.333333333;3.5;5;3;4;3;3;3.4;4.25;100;4;4;4;3;In der zweiten Aufgabe ging es um die Erstellung einer einwöchigen Strategie(Ausarbeitung) um neu Nachhaltigkeit als Kernwert des Unternehmens aufzubauen (wie dies geschehen soll etc.). Hilfsmittel standen keine zur Verfügung.;18;17.79266667;2.273666667;0.9685;4.290666667;1.293833333;5.969;2.997
